,Address,Baths,Beds,Cost,"Sq,Ft",Sq.Ft,Status
0,"17416 Runnymede St, Van Nuys, CA", 1 ba ,2 bds ,"$449,900",," 1,028 sqft",House For Sale
1,"2966 W 14th St, Los Angeles, CA", -- ba ,,"$824,900",," 1,750 sqft",Apartment For Sale
2,"2175 Broadview Ter, Los Angeles, CA", 2 ba ,3 bds ,"$1,389,000",," 2,361 sqft",House For Sale
3,"4140 Parva Ave, Los Angeles, CA", 5 ba ,5 bds ,"$3,950,000",," 5,429 sqft",House For Sale
4,"Residence 2 Plan, Cleo at Playa Vista", 2.5 ba ,3 bds ,"$1,880,000+",," 2,242+ sqft",New Construction
5,"3416 Beethoven St, Los Angeles, CA", 5.5 ba ,5 bds ,"$3,875,000",," 4,115 sqft",House For Sale
6,"19545 Sherman Way UNIT 81, Reseda, CA", 3 ba ,3 bds ,"$409,904",," 1,534 sqft",Townhouse For Sale
7,"115 Waterview St, Playa Del Rey, CA", 4 ba ,4 bds ,"$3,850,000",," 4,925 sqft",Condo For Sale
8,"7538 Owens St, Tujunga, CA", 3 ba ,4 bds ,"$725,000",," 2,156 sqft",House For Sale
9,"664 Broadway St, Venice, CA", 2 ba ,2 bds ,"$2,900,000",," 1,808 sqft",House For Sale
10,"2763 Roscomare Rd, Los Angeles, CA", 5 ba ,5 bds ,"$3,650,000",," 4,536 sqft",House For Sale
11,"18645 Hatteras St UNIT 282, Tarzana, CA", 1 ba ,,"$243,000",, 605 sqft,Condo For Sale
12,"725 1/2 Micheltorena St, Los Angeles, CA", 3 ba ,3 bds ,"$729,927",," 1,296 sqft",Townhouse For Sale
13,"7796 Skyhill Dr, Los Angeles, CA", 3 ba ,4 bds ,"$1,369,500",," 2,475 sqft",Condo For Sale
14,"7522 Flight Ave, Los Angeles, CA", 2 ba ,3 bds ,"$1,249,000",," 1,834 sqft",House For Sale
15,"19826 Kinzie St, Chatsworth, CA", 3 ba ,5 bds ,"$868,000",," 3,100 sqft",House For Sale
16,"11969 Victoria Ave, Los Angeles, CA", 2 ba ,3 bds ,"$2,200,000",," 2,575 sqft",House For Sale
17,"2477 Glyndon Ave, Venice, CA", 5 ba ,3 bds ,"$3,150,000",," 3,623 sqft",House For Sale
18,"5268 Lindley Ave, Encino, CA", 3 ba ,3 bds ,"$565,000",," 1,947 sqft",Condo For Sale
19,"2733 W West View St, Los Angeles, CA", 2 ba ,3 bds ,"$599,000",," 1,286 sqft",House For Sale
20,"4730 Azucena Rd, Woodland Hills, CA", 5 ba ,6 bds ,"$2,659,000",," 5,895 sqft",House For Sale
21,"2282 Coldwater Canyon Dr, Beverly Hills, CA", 4 ba ,5 bds ,"$1,995,000",," 2,527 sqft",House For Sale
22,"15670 Castlewoods Dr, Sherman Oaks, CA", 5 ba ,5 bds ,"$3,950,000",," 5,337 sqft",House For Sale
23,"6156 Murietta Ave, Van Nuys, CA", 2 ba ,3 bds ,"$549,000",," 1,166 sqft",House For Sale
24,"4744 Norwich Ave, Sherman Oaks, CA", 5 ba ,4 bds ,"$1,349,000",," 3,499 sqft",House For Sale
25,"6449 Corbin Ave, Woodland Hills, CA", 2 ba ,3 bds ,"$549,999",," 1,392 sqft",House For Sale
26,"22216 Cass Ave, Woodland Hills, CA", 2 ba ,3 bds ,"$879,000",," 2,202 sqft",House For Sale
